Abbrevation_internal	Abbrevation	OPC_molecular_subtype	Color_code	Molecular_superfamily	Molecular_family	Molecular_class	Molecular_subclass	description
PLNTY	PLNTY	LGG, MAPK	#914b22	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade ganglioglial/neuroepithelial tumour	polymorphous low-grade neuroepithelial tumour of the young	Polymorphous low-grade neuroepithelial tumour of the young	The "mc Polymorphous low-grade neuroepithelial tumour of the young" represents an often epilepsy-associated tumour of young patients (mostly in the second and third decade, although older patients have also been described) with varied morphology. There is no evidence of sex predilection as yet. Genetic alterations in the MAPK pathway are frequently seen, including fusions of FGFR2 (particularly FGFR2:CTNNA3 and FGFR2:SHTN1 [formerly KIAA1598]). These tumours share substantial similarity in their methylation profile with "mc Ganglioglioma".
PPTID_A	PPTID_A		#b4f79b	Pineal parenchymal and retinal tumours	pineal parenchymal tumour of intermediate differentiation	Pineal parenchymal tumour of intermediate differentiation	Pineal parenchymal tumour of intermediate differentiation, subclass A	The "mf Pineal parenchymal tumour of intermediate differentiation" includes "mc Pineal parenchymal tumour of intermediate differentiation, subclass A" and "mc Pineal parenchymal tumour of intermediate differentiation, subclass B". This mf comprises tumours of the pineal parenchyma that are intermediate in malignancy between pineocytoma and pineoblastoma. The median age of patients is around 35 years. The majority of these tumours show small in-frame insertions in the KBTBD4 gene, although the downstream functional consequences of this are as yet unclear.
PPTID_B	PPTID_B		#a6f689	Pineal parenchymal and retinal tumours	pineal parenchymal tumour of intermediate differentiation	Pineal parenchymal tumour of intermediate differentiation	Pineal parenchymal tumour of intermediate differentiation, subclass B	The "mf Pineal parenchymal tumour of intermediate differentiation" includes "mc Pineal parenchymal tumour of intermediate differentiation, subclass A" and "mc Pineal parenchymal tumour of intermediate differentiation, subclass B". This mf comprises tumours of the pineal parenchyma that are intermediate in malignancy between pineocytoma and pineoblastoma. The median age of patients is around 35 years. The majority of these tumours show small in-frame insertions in the KBTBD4 gene, although the downstream functional consequences of this are as yet unclear.
PTPR_A	PTPR_A		#AEDE8A	Pineal tumours	papillary tumour of the pineal region	papillary tumour of the pineal region	Papillary tumour of the pineal region, subclass A	The "mf Papillary tumour of the pineal region" includes "mc Papillary tumour of the pineal region, subclass A" and "mc Papillary tumour of the pineal region, subclass B". These neuroepithelial tumours histologically show a combination of papillary and solid areas, with immunopositivity for cytokeratins. tumours of this mf can occur in children and adults, with a median age at diagnosis of about 35 years. Loss of chromosome 10 is characteristic of this mf, and mutations in PTEN are also frequently observed.
PTPR_B	PTPR_B		#BFFF9C	Pineal tumours	papillary tumour of the pineal region	papillary tumour of the pineal region	Papillary tumour of the pineal region, subclass B	The "mf Papillary tumour of the pineal region" includes "mc Papillary tumour of the pineal region, subclass A" and "mc Papillary tumour of the pineal region, subclass B". These neuroepithelial tumours histologically show a combination of papillary and solid areas, with immunopositivity for cytokeratins. tumours of this mf can occur in children and adults, with a median age at diagnosis of about 35 years. Loss of chromosome 10 is characteristic of this mf, and mutations in PTEN are also frequently observed.
PXA	PXA		#7C46C9	diffuse glioma, MAPK altered, cell-cycle activated	pleomorphic xanthoastrocytoma(-like)	pleomorphic xanthoastrocytoma(-like)	Pleomorphic xanthoastrocytoma	The "mc Pleomorphic xanthoastrocytoma" represents an astrocytic tumour with varied histology, primarily that of pleomorphic xanthoastrocytoma or anaplastic pleomorphic xanthoastrocytoma, but also including glioblastomas (particularly epithelioid glioblastoma) or with a ganglion cell-like differentiation appearing as 'anaplastic ganglioglioma'. There is no clear difference in methylation profiles between tumours histologically considered anaplastic or not. Location is typically supratentorial and often superficial (involving the leptomeninges). Most case arise in teenagers or young adults, with median age at diagnosis around 20-25 years. There is no apparent sex predilection. The majority of tumours in this mc harbor BRAF V600E mutations and homozygous deletions of CDKN2A/B. Cases lacking BRAF V600E typically show other alterations in the MAPK pathway, including NTRK family and RAF1 gene fusions. Some tumours of this mc also display TERT promoter mutations, which may be associated with a poorer prognosis.
RB	RB		#FF9755	pineal parenchymal and retinal tumour	pineal/retinal RB1-related tumour	retinoblastoma	Retinoblastoma	The "mc Retinoblastoma" represents a malignant tumour of the neurosensory retina, typically arising in young children. These ocular tumours are associated with genetic inactivation of RB1, which can be either somatic or germline. Individuals with germline RB1 inactivation often show tumours affecting both eyes, and occasionally also the pineal gland (see "mc Pineal retinoblastoma").
RB_MYCN	RB_MYCN		#e65900	pineal parenchymal and retinal tumour	retinoblastoma, MYCN-activated	retinoblastoma, MYCN-activated	Retinoblastoma, MYCN-activated	The "mc Retinoblastoma, MYCN-activated" represents a malignant tumour of the neurosensory retina, typically arising in young children. These ocular tumours differ from typical retinoblastoma in that they usually lack the common genetic inactivation of RB1, instead frequently showing amplifcation of MYCN. The methylation profile of this mc shows similarities with "mc Pineoblastoma, MYC/FOXR2-activated". This mc is a provisional class, which is still being further characterized.
RGNT	RGNT	GNT, FGFR	#F79246	Low-grade glial/glioneuronal/neuroepithelial tumours	low-grade glioneuronal tumour	rosette-forming glioneuronal tumour	Rosette-forming glioneuronal tumour	The "mc Rosette-forming glioneuronal tumour" represents a glioneuronal tumour typically displaying two histological components - one with uniform rosette-forming neurocytes, and a glial component typically resembling pilocytic astrocytoma. Most tumours occur in the midline, in or around the fourth ventricle. tumours of this mc are typically diagnosed between childhood and young adulthood. There is no apparent sex predilection. The vast majority of these tumours harbor a genetic alteration of FGFR1, often with co-occurrence of mutations in PIK3CA and/or NF1 or PTPN11. Cases arising in the context of germline NF1 mutation or Noonan syndrome (PTPN11) have been reported.
RMS_MYOD1	RMS_MYOD1			rhabdomyosarcoma	embryonal and MYOD1-mutant rhabdomyosarcoma	rhabdomyosarcoma, MYOD1-mutant	Rhabdomyosarcoma, MYOD1-mutant	The "mc Rhabdomyosarcoma, MYOD1-mutant" is comprised of tumours harboring a hotspot L122R mutation in MYOD1, and often displaying a spindle-cell/sclerosing phenotype. This tumour is rarely, if at all, encountered in the CNS, and is included to give a better distinction for other sarcoma types that can occur intracranially.
SCHW	SCHW		#FFE1B2	Cranial and paraspinal nerve tumours	schwann-cell tumours	schwannoma	Schwannoma	The "mc Schwannoma" represents a nerve sheath tumour comprised of differentiated neoplastic Schwann cells. They can arise in all ages, but most frequently occur in the fourth to sixth decades of life. There is no reported sex predilection. Mutations of NF2 and/or loss of chromosome 22 are frequently encountered in this mc. A fusion of SH3PXD2A:HTRA1 is observed in about 10% of cases. Most of these tumours are sporadic, but cases can occur in association with germline neurofibromatosis type 2 or schwannomatosis.
SEGA	SEGA	SEGA	#AD6EF1	Circumscribed astrocytic tumours	subependymal giant cell astrocytoma	subependymal giant cell astrocytoma	Subependymal giant cell astrocytoma	The "mc Subependymal giant cell astrocytoma" represents a periventricular tumour histologically showing large ganglion-like astrocytes, arising adjacent to the lateral ventricles. Most tumours arise in the first two decades of life. These tumours are closely associated with tuberous sclerosis (TS), caused by germline mutations in TSC1 or TSC2. It is unclear whether true SEGAs arise outside of TS, or whether apparent examples of such tumours in fact harbor undetected TSC1/TSC2 alterations.
HMPC_SFT	SFT_HMPC		#FF6DFA	Mesenchymal, non-meningothelial tumours involving the CNS	Fibroblastic and myofibroblastic tumours	solitary fibrous tumour / haemangiopericytoma	Solitary fibrous tumour / haemangiopericytoma	The "mc Solitary fibrous tumour" is comprised of fibroblastic neoplasms with a genomic inversion at the 12q13 locus, leading to NAB2 and STAT6 gene fusion as well as STAT6 nuclear expression. Median age is 63.5 years (range 22 to 83). Copy-number profiles are typically flat. Methylation profiling can currently not be used for grading within the methylation class "solitary fibrous tumour / hemangiopericytoma".
ENB_IDH	SNUC_IDH2		#ff8339	Sinonasal undifferentiated carcinoma, IDH2-mutant	Sinonasal undifferentiated carcinoma, IDH2-mutant	Sinonasal undifferentiated carcinoma, IDH2-mutant	Sinonasal undifferentiated carcinoma, IDH2-mutant	The "mc sinonasal undifferentiated carcinoma, IDH-mutant" emerges as one distinct group among the sinonasal undifferentiated carcinomas. This group includes tumors diagnosed as sinonasal undifferentiated carcinoma, olfactory neuroblastomas, neuroendocrine carcinomas or adenocarcinomas. The tumors carry an IDH2R172 mutation.
